,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
4767,1224337-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-23,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3712.18,3161.65,550.53,3458.0,3712.18,254.18,14795.0,40.0,1.0,40',14795.44
4770,1224340-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-29,WELLPET LLC,LAEM CHABANG,NEW YORK,4905.58,4590.58,315.0,4740.0,4905.58,165.58,12173.0,40.0,1.0,40',12173.2
4772,1224342-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-29,WELLPET LLC,LAEM CHABANG,NEW YORK,4948.44,4475.19,473.25,4740.0,4948.44,208.44,12949.0,40.0,1.0,40',12948.9
4777,1224345-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-29,WELLPET LLC,LAEM CHABANG,NEW YORK,5008.83,4578.56,430.27,4740.0,5008.83,268.83,14300.0,40.0,1.0,40',14300.0
4778,1224346-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-29,WELLPET LLC,LAEM CHABANG,NEW YORK,4971.89,4398.64,573.25,4740.0,4971.89,231.89,14300.0,40.0,1.0,40',14300.0
4779,1224347-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-29,WELLPET LLC,LAEM CHABANG,NEW YORK,4957.83,4457.08,500.75,4740.0,4957.83,217.83,14285.0,40.0,1.0,40',14285.6
4798,1224360-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-05,WELLPET LLC,LAEM CHABANG,NEW YORK,4752.93,4004.6,748.33,4540.0,4752.93,212.93,9917.0,40.0,1.0,40',9917.27
4799,1224361-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-05,WELLPET LLC,LAEM CHABANG,NEW YORK,4813.24,4046.24,767.0,4585.0,4813.24,228.24,14577.0,40.0,1.0,40',14577.48
4800,1224362-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-05,WELLPET LLC,LAEM CHABANG,NEW YORK,5024.82,4217.82,807.0,4755.0,5024.82,269.82,18128.0,40.0,1.0,40',18128.24
4801,1224363-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-05,WELLPET LLC,LAEM CHABANG,NEW YORK,4855.05,4088.05,767.0,4585.0,4855.05,270.05,18210.0,40.0,1.0,40',18210.48
4844,1224400-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-30,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3986.1,3124.69,861.41,3749.5,3986.1,236.6,16032.0,40.0,1.0,40',16032.05
4845,1224401-01,10,OI,25.0,36.0,VALERIE KOEN,2017-10-30,WELLPET LLC,LAEM CHABANG,LOS ANGELES,3700.55,2839.14,861.41,3458.0,3700.55,242.55,18210.0,40.0,1.0,40',18210.74
4847,1224403-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-12,WELLPET LLC,LAEM CHABANG,NEW YORK,4851.47,4183.22,668.25,4540.0,4851.47,311.47,15575.0,0.0,1.0,40,15574.72
4848,1224404-01,10,OI,25.0,36.0,VALERIE KOEN,2017-11-12,WELLPET LLC,LAEM CHABANG,NEW YORK,4772.92,4055.92,717.0,4540.0,4772.92,232.92,14684.0,0.0,1.0,40,14683.8
