FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
2211107-01,2019-12-03,Dec,2019,11/22/2019,20,25,OI,AUTOMATIC DISTRIBUTORS,BANGOR,KENDA RUBBER IND. CO. LTD.,AUTOMATIC DISTRIBUTORS,"12,572",5615,5150,465,167.37,5615,5447.63
2211108-01,2019-12-15,Dec,2019,11/22/2019,20,25,OI,BASKETVILLE INC,PUTNEY,CAOXIAN HENHZHENG ARTS & CRAFTS,BASKETVILLE INC,"8,507",3137.48,2732.48,405,9191.36,3137.48,-6053.88
2211110-01,2020-01-09,Jan,2020,11/22/2019,20,25,OI,BENJAMIN WALK INC.,SOMERSWORTH,RONG MEI SHOES FACTORY,BENJAMIN WALK INC.,"7,203",2595,2244.5,350.5,10811.67,2595,-8216.67
2211111-01,2019-12-26,Dec,2019,11/25/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"2,059",2696,2361,335,,2696,2696
2211112-01,2019-12-19,Dec,2019,11/25/2019,20,25,OI,K2 CASTINGS INC,PORTSMOUTH,SICHUAN KINTES TECHNOLOGY,K2 CASTINGS INC,"16,700",1450,1230,220,,1450,1450
2211113-01,2019-12-23,Dec,2019,11/25/2019,20,25,OI,HUSSEY SEATING COMPANY,NORTH BERWICK,THE FEDERATED INDUSTRIES (NINGBO),HUSSEY SEATING COMPANY,"5,614",4827,4572,255,5436.25,4827,-609.25
2211114-01,2019-12-29,Dec,2019,11/25/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,RUI XIN SHOES FACTORY,"PHOENIX FOOTWEAR GROUP, INC.","5,806",5890.1,5593.1,297,23178.94,5890.1,-17288.84
2211115-01,2019-12-29,Dec,2019,11/25/2019,20,25,OI,"PHOENIX FOOTWEAR GROUP, INC.",CARLSBAD,HOU RONG SHOES,"PHOENIX FOOTWEAR GROUP, INC.","5,947",6058.1,5649.1,409,26007.8,6058.1,-19949.7
2211116-01,2019-12-16,Dec,2019,11/25/2019,20,25,OI,"FINN COMFORT USA, INC",N CHARLESTON,WALDI SCHUHFABRIK GMBH,"FINN COMFORT USA, INC","6,868",3599.06,3333.91,265.15,35276.62,3599.06,-31677.56
2211117-01,2020-01-02,Jan,2020,11/25/2019,20,25,OI,JOHNSON OUTDOORS WATERCRAFT INC,OLD TOWN,GUANGZHOU LAND & OCEAN COMPOSITE,JOHNSON OUTDOORS WATERCRAFT INC,"2,418",3220.94,2815.11,405.83,15696.01,3220.94,-12475.07
