,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
112333,1232464-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-21,WELLPET LLC,LAEM CHABANG,OAKLAND,6757.21,6216.39,540.82,6503.0,6757.21,254.21,15175.0,55.0,1.0,40HQ,15175.1
112378,1232510-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8382.14,7846.39,535.75,8117.0,8382.14,265.14,12900.0,55.0,1.0,40HQ,12900.0
112379,1232511-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8340.86,7876.94,463.92,7982.0,8340.86,358.86,17368.0,0.0,1.0,40HQ,17368.7
112469,1232462-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-04,WELLPET LLC,NHAVA SHEVA,NEW YORK,2547.41,1830.34,717.07,2151.94,2547.41,395.47,1259.0,11.223,1.0,LCL/BULK,1259.11
112565,1232513-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-06,WELLPET LLC,LAEM CHABANG,NORFOLK,9775.62,9166.62,609.0,9480.0,9775.62,295.62,16045.0,0.0,1.0,40HQ,16044.05
112657,1232436-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-13,WELLPET LLC,LAEM CHABANG,OAKLAND,6810.02,6178.42,631.6,6503.0,6810.02,307.02,18285.0,55.0,1.0,40HQ,18285.26
112670,1232437-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-13,WELLPET LLC,LAEM CHABANG,OAKLAND,6753.31,6121.71,631.6,6503.0,6753.31,250.31,15648.0,55.0,1.0,40HQ,15648.5
112671,1232438-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-13,WELLPET LLC,LAEM CHABANG,OAKLAND,6768.17,6168.18,599.99,6503.0,6768.17,265.17,17223.0,55.0,1.0,40HQ,17222.84
113112,5100955-01,50,OE,15.0,36.0,VALERIE KOEN,2020-10-07,WELLPET LLC,LAEM CHABANG,MELBOURNE,2950.0,2800.0,150.0,2950.0,2950.0,0.0,10482.16,0.0,1.0,40',10482.16
113279,1232315-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,7361.87,4588.12,2773.75,7091.0,7361.87,270.87,17402.0,55.0,1.0,40HQ,17402.4
113303,1232316-01,10,OI,25.0,36.0,VALERIE KOEN,2020-11-12,WELLPET LLC,LAEM CHABANG,NORFOLK,9790.97,7226.97,2564.0,9480.0,9790.97,310.97,15467.0,55.0,1.0,40HQ,15467.25
115002,1232676-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-06,WELLPET LLC,LAEM CHABANG,NORFOLK,9785.19,9079.19,706.0,9480.0,9785.19,305.19,17137.0,0.0,1.0,40HQ,17136.5
115004,1232677-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-06,WELLPET LLC,LAEM CHABANG,NORFOLK,9759.9,9053.9,706.0,9480.0,9759.9,279.9,14877.0,0.0,1.0,40HQ,14877.5
115005,1232678-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-06,WELLPET LLC,LAEM CHABANG,NORFOLK,9731.86,9025.86,706.0,9480.0,9731.86,251.86,15153.0,0.0,1.0,40HQ,15152.55
115120,1232679-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-09,WELLPET LLC,LAEM CHABANG,COLUMBUS,8767.59,8278.84,488.75,8497.0,8767.59,270.59,20237.0,55.0,1.0,40HQ,20237.3
115123,1232680-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-09,WELLPET LLC,LAEM CHABANG,COLUMBUS,8655.38,8151.63,503.75,8392.0,8655.38,263.38,17150.0,55.0,1.0,40HQ,17150.0
115411,1232681-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-09,WELLPET LLC,LAEM CHABANG,COLUMBUS,8735.21,8231.46,503.75,8392.0,8735.21,343.21,18187.0,55.0,1.0,40HQ,18186.74
115415,1232682-01,10,OI,25.0,36.0,VALERIE KOEN,2021-01-07,WELLPET LLC,LAEM CHABANG,COLUMBUS,8653.17,8164.42,488.75,8347.0,8653.17,306.17,17614.0,55.0,1.0,40HQ,17613.2
119231,1232516-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-10,WELLPET LLC,LAEM CHABANG,COLUMBUS,8409.21,4743.46,3665.75,8117.0,8409.21,292.21,17862.0,0.0,1.0,40HQ,17861.96
119232,1232517-01,10,OI,25.0,36.0,VALERIE KOEN,2020-12-06,WELLPET LLC,LAEM CHABANG,NORFOLK,9742.93,9160.63,582.3,9480.0,9742.93,262.93,13145.0,0.0,1.0,40HQ,13144.95
119327,1232230-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-20,WELLPET LLC,LAEM CHABANG,OAKLAND,7189.19,6051.49,1137.7,6987.0,7189.19,202.19,15093.0,0.0,1.0,40HQ,15093.0
119328,1232231-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-21,WELLPET LLC,LAEM CHABANG,OAKLAND,7238.15,6098.1,1140.05,7022.0,7238.15,216.15,16184.0,0.0,1.0,40HQ,16184.84
119350,1232232-01,10,OI,25.0,36.0,VALERIE KOEN,2020-10-21,WELLPET LLC,LAEM CHABANG,OAKLAND,7201.17,6028.47,1172.7,7022.0,7201.17,179.17,13395.0,0.0,1.0,40HQ,13395.08
