,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
190,633007718-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-18,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4829.45,3953.79,875.66,4829.45,4829.45,0.0,90.0,1.161,0.0,,90.0
191,633007754-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-22,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4859.1,3928.5,930.6,4859.1,4859.1,0.0,107.0,1.353,0.0,,107.0
192,633007769-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-25,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,6083.6,5066.34,1017.26,6083.6,6083.6,0.0,130.0,1.442,0.0,,130.0
193,633007791-01,60,AE,35.0,22.0,MOLIVEIRA,2020-07-29,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5268.94,4293.8,975.14,5268.94,5268.94,0.0,91.0,1.385,0.0,,91.0
194,633007814-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-01,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,6469.51,5384.83,1084.68,6469.51,6469.51,0.0,158.0,1.664,0.0,,158.0
195,633007834-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-05,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,7038.63,5793.32,1245.31,7038.63,7038.63,0.0,211.0,2.795,0.0,,211.0
196,633007858-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-08,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,5340.83,4358.84,981.99,5340.83,5340.83,0.0,111.0,1.475,0.0,,111.0
197,633007901-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-12,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4172.53,3358.69,813.84,4172.53,4172.53,0.0,80.0,1.07,0.0,,80.0
198,633007924-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-15,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4833.48,4004.04,829.44,4833.48,4833.48,0.0,114.0,1.088,0.0,,114.0
199,633007926-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-12,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,SHANGHAI - PU DONG,2413.5,1888.43,525.07,2413.5,2413.5,0.0,200.0,0.772,0.0,,200.0
200,633007940-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-19,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,3245.84,2639.35,606.49,3245.84,3245.84,0.0,62.0,0.661,0.0,,62.0
201,633007987-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-22,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4176.71,3138.73,1037.98,4176.71,4176.71,0.0,87.0,0.774,0.0,,87.0
202,633008019-01,60,AE,35.0,22.0,MOLIVEIRA,2020-08-26,AKOBIO01,"AKOYA BIOSCIENCES, INC.",LOS ANGELES INT'L AIRPORT,AMSTERDAM,4549.33,3741.51,807.82,4549.33,4549.33,0.0,97.0,1.001,0.0,,97.0
203,6701425,60,DO,75.0,22.0,MOLIVEIRA,2021-01-26,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,BOSTON-LOGAN INTL AIRPORT,1486.49,1486.49,0.0,1486.49,1486.49,0.0,0.0,0.0,0.0,,0.0
204,6701426,60,DO,75.0,22.0,MOLIVEIRA,2021-01-26,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,BOSTON-LOGAN INTL AIRPORT,2490.18,2490.18,0.0,2490.18,2490.18,0.0,0.0,0.0,0.0,,0.0
205,6701237,60,DO,75.0,22.0,MOLIVEIRA,2020-04-01,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,BOSTON-LOGAN INTL AIRPORT,1225.85,1225.85,0.0,1225.85,1225.85,0.0,0.0,0.0,0.0,,0.0
206,6701263,60,DO,75.0,22.0,MOLIVEIRA,2020-06-01,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,BOSTON-LOGAN INTL AIRPORT,1458.8,1458.8,0.0,1458.8,1458.8,0.0,0.0,0.0,0.0,,0.0
207,130031574-01,10,AE,35.0,22.0,MOLIVEIRA,2020-02-09,AKOBIO02,"AKOYA BIOSCIENCES, INC","JFK AIRPORT, NEW YORK",AMSTERDAM,2080.61,1640.81,439.8,2080.61,2080.61,0.0,262.0,3.018,0.0,,262.0
